authid,name,orcid,name_source_scopus_id
6602318923,Montpetit É.,,84937251689
6602323322,Lintunen T.,,85020458056
6602326924,Wibbels E.,,105044015595
6602330678,Eisenstadt T.A.,0000-0003-3431-0819,85191745594
6602342750,Revuelta G.,,85046125338
6602343552,Kaplowitz S.A.,,84945532137
6602353571,Achterberg P.,,84904053706
6602359888,Hanoch Y.,0000-0001-9453-4588,85124811069
6602361014,Gennetian L.A.,,85216854151
6602362667,Bamberger H.B.,,105012935442
6602363790,Schambach T.P.,,84877673282
6602364598,Isernia P.,0000-0002-8396-2082,85105685379
6602365360,Mcgonagle K.A.,,85044379276
6602365934,Kiesel A.,,85161181234
6602369240,Ravizza S.M.,,85028298073
6602375694,Kaphingst K.A.,0000-0003-2668-9080,85209666658
6602378448,Fouillet H.,,85062409842
6602386277,van der Brug W.,,85075334741
6602395661,Oliva-Paterna F.J.,,84862990975
6602397918,Elffers H.,,84862219019
6602398574,Sedelmeier U.,0000-0001-6963-4296,85173494123
6602405157,Armony M.,0000-0001-5970-3753,105046244640
6602405220,Braüninger T.,0000-0003-2767-717X,85119401868
6602405457,Zopf R.,,79954425112
6602410458,d'Arripe-Longueville F.,,84936177761
6602410947,Westergren H.,,85208161938
6602416227,Kuisma J.,,84880826805
6602423646,Scholarios D.,,105009510585
6602434188,Keiser L.R.,,85137333494
6602442458,Margetts H.,0000-0003-4597-8283,86000640200
6602453537,Lubart T.,0000-0002-8776-8797,105038469790
6602454385,Hassenzahl M.,,105024885700
6602455593,Akins S.,,85158850487
